1	Harvard University	279.7	
2	Stanford University	262.3	
3	University of Michigan-Ann Arbor	257.2	
4	University of Oxford	254.6	
5	University of California, Berkeley	251.8	
6	University of Toronto	244.1	
7	The Ohio State University - Columbus	240.9	
8	Pennsylvania State University - University Park	236.8	
9	Cornell University	235.9	
10	University of Wisconsin - Madison	229.0	
11	University of Amsterdam	224.8	
12	The University of Texas at Austin	223.8	
13	Duke University	223.4	
14	University of California, Los Angeles	221.9	
15	Columbia University	219.2	
16	Princeton University	215.7	
17	University of North Carolina at Chapel Hill	212.7	
18	University of Chicago	212.1	
19	Indiana University Bloomington	209.4	
20	Northwestern University	209.2	
21	New York University	203.7	
22	University of California, Irvine	193.0	
23	London School of Economics and Political Science	192.2	
24	University of Washington	192.0	
25	The University of Manchester	191.6	
26	University of Minnesota, Twin Cities	185.2	
27	Yale University	185.1	
28	University of Maryland, College Park	182.8	
29	Purdue University - West Lafayette	175.3	
30	University of British Columbia	173.0	
31	Utrecht University	172.6	
32	University of Massachusetts Amherst	170.8	
33	University College London	168.6	
34	Stockholm University	167.3	
35	University of Copenhagen	164.4	
36	Michigan State University	162.8	
37	University of Pennsylvania	161.5	
38	University of Southern California	160.9	
39	The University of Edinburgh	160.1	
40	University of Cologne	159.5	
41	Massachusetts Institute of Technology (MIT)	159.0	
42	Brown University	157.3	
43	University of Arizona	151.9	
44	University of Illinois at Chicago	151.4	
45	Boston University	151.2	
46	Florida State University	151.0	
47	Cardiff University	148.6	
48	The University of Melbourne	147.2	
49	University of York	146.1	
50	McGill University	145.4	
50	The University of Sheffield	145.4	
51-75	Aarhus University		
51-75	Arizona State University		
51-75	Boston College		
51-75	Copenhagen Business School		
51-75	Johns Hopkins University		
51-75	The University of Queensland		
51-75	Tilburg University		
51-75	University of California, Davis		
51-75	University of California, San Diego		
51-75	University of California, Santa Barbara		
51-75	University of Cambridge		
51-75	University of Colorado at Boulder		
51-75	University of Connecticut		
51-75	Exeter University		
51-75	University of Helsinki		
51-75	University of Illinois at Urbana-Champaign		
51-75	University of Iowa		
51-75	University of Notre Dame		
51-75	University of Oslo		
51-75	University of South Carolina - Columbia		
51-75	University of Southampton		
51-75	University of Surrey		
51-75	University of Warwick		
51-75	University of Waterloo		
76-100	Baylor University		
76-100	Colorado State University		
76-100	Durham University		
76-100	Erasmus University Rotterdam		
76-100	Goethe University Frankfurt		
76-100	King's College London		
76-100	Newcastle University		
76-100	Northeastern University (Boston)		
76-100	Radboud University Nijmegen		
76-100	Rice University		
76-100	The Hong Kong Polytechnic University		
76-100	The University of Glasgow		
76-100	University at Albany (State University of New York)		
76-100	University of Antwerp		
76-100	University of Birmingham		
76-100	University of California, San Francisco		
76-100	University of Groningen		
76-100	University of Haifa		
76-100	University of Kansas		
76-100	University of Leeds		
76-100	University of Mannheim		
76-100	University of Nottingham		
76-100	Vrije Universiteit Amsterdam		
76-100	Washington State University		
76-100	Washington University in St. Louis		
101-150	Aalborg University		
101-150	Bowling Green State University		
101-150	Carlos III University of Madrid		
101-150	City University of Hong Kong		
101-150	Emory University		
101-150	Georgetown University		
101-150	Goldsmiths University London		
101-150	Humboldt University of Berlin		
101-150	KU Leuven		
101-150	Lancaster University		
101-150	Monash University		
101-150	National University of Singapore		
101-150	Royal Holloway, University of London		
101-150	Rutgers, The State University of New Jersey - New Brunswick		
101-150	Simon Fraser University		
101-150	Syracuse University		
101-150	Tel Aviv University		
101-150	Texas A&M University		
101-150	The Australian National University		
101-150	The Hebrew University of Jerusalem		
101-150	The University of Georgia		
101-150	The University of New Mexico - Albuquerque		
101-150	The University of New South Wales		
101-150	University of Alberta		
101-150	University of Bath		
101-150	University of Bologna		
101-150	University of Bremen		
101-150	University of Bristol		
101-150	University of California, Riverside		
101-150	University of Essex		
101-150	University of Greenwich		
101-150	University of Houston		
101-150	University of Johannesburg		
101-150	University of Kent		
101-150	University of Leicester		
101-150	University of Missouri - Columbia		
101-150	University of Munich		
101-150	University of Nebraska - Lincoln		
101-150	University of Oklahoma - Norman		
101-150	University of Oregon		
101-150	University of Pittsburgh		
101-150	University of Sussex		
101-150	University of Sydney		
101-150	University of Utah		
101-150	University of Virginia		
101-150	University of Zurich		
101-150	Vanderbilt University		
101-150	Virginia Polytechnic Institute and State University		
101-150	Wageningen University & Research		
101-150	Western University		
151-200	American University		
151-200	Autonomous University of Barcelona		
151-200	Bar-Ilan University		
151-200	Ben-Gurion University of the Negev		
151-200	Bielefeld University		
151-200	Carleton University		
151-200	City, University of London		
151-200	Clemson University		
151-200	Coventry University		
151-200	European University Institute		
151-200	Georgia State University		
151-200	Ghent University		
151-200	Griffith University		
151-200	Loughborough University		
151-200	Louisiana State University - Baton Rouge		
151-200	Lund University		
151-200	Maastricht University		
151-200	McMaster University		
151-200	Middlesex University		
151-200	Northumbria University		
151-200	Norwegian University of Science and Technology - NTNU		
151-200	PSL University		
151-200	Queen Mary University of London		
151-200	Queensland University of Technology		
151-200	Stony Brook University		
151-200	Sun Yat-sen University		
151-200	The Open University		
151-200	The University of Hong Kong		
151-200	Trinity College Dublin		
151-200	Tulane University		
151-200	University College Dublin		
151-200	University of Aberdeen		
151-200	University of Bergen		
151-200	University of Bern		
151-200	University of Geneva		
151-200	University of Gothenburg		
151-200	University of Hamburg		
151-200	University of Huddersfield		
151-200	University of Kentucky		
151-200	University of Lausanne		
151-200	University of Liverpool		
151-200	University of Nevada-Las Vegas		
151-200	University of North Carolina at Charlotte		
151-200	University of Otago		
151-200	University of Southern Denmark		
151-200	University of Strathclyde		
151-200	University of Tennessee - Knoxville		
151-200	University of Trento		
151-200	University of Victoria		
151-200	Uppsala University		
151-200	University College Dublin		
151-200	University of Aberdeen		
151-200	University of Bergen		
151-200	University of Bern		
151-200	University of Geneva		
151-200	University of Gothenburg		
151-200	University of Hamburg		
151-200	University of Huddersfield		
151-200	University of Kentucky		
151-200	University of Lausanne		
151-200	University of Liverpool		
151-200	University of Nevada-Las Vegas		
151-200	University of North Carolina at Charlotte		
151-200	University of Otago		
151-200	University of Southern Denmark		
151-200	University of Strathclyde		
151-200	University of Tennessee - Knoxville		
151-200	University of Trento		
151-200	University of Victoria		
151-200	Uppsala University		
151-200	University College Dublin		
151-200	University of Aberdeen		
151-200	University of Bergen		
151-200	University of Bern		
151-200	University of Geneva		
151-200	University of Gothenburg		
151-200	University of Hamburg		
151-200	University of Huddersfield		
151-200	University of Kentucky		
151-200	University of Lausanne		
151-200	University of Liverpool		
151-200	University of Nevada-Las Vegas		
151-200	University of North Carolina at Charlotte		
151-200	University of Otago		
151-200	University of Southern Denmark		
151-200	University of Strathclyde		
151-200	University of Tennessee - Knoxville		
151-200	University of Trento		
151-200	University of Victoria		
151-200	Uppsala University		
