1	Harvard University	279.7	97.6
2	Stanford University	262.3	96.8
3	University of Michigan-Ann Arbor	257.2	91.6
4	University of Oxford	254.6	84.8
5	University of California, Berkeley	251.8	86.5
6	University of Toronto	244.1	74.2
7	The Ohio State University - Columbus	240.9	84.8
8	Pennsylvania State University - University Park	236.8	81.8
9	Cornell University	235.9	82.7
10	University of Wisconsin - Madison	229.0	81.8
11	University of Amsterdam	224.8	93.4
12	The University of Texas at Austin	223.8	86.0
13	Duke University	223.4	97.1
14	University of California, Los Angeles	221.9	87.1
15	Columbia University	219.2	84.1
16	Princeton University	215.7	100.0
17	University of North Carolina at Chapel Hill	212.7	84.0
18	University of Chicago	212.1	80.0
19	Indiana University Bloomington	209.4	84.3
20	Northwestern University	209.2	86.2
21	New York University	203.7	81.7
22	University of California, Irvine	193.0	76.1
23	London School of Economics and Political Science	192.2	92.0
24	University of Washington	192.0	80.4
25	The University of Manchester	191.6	79.6
26	University of Minnesota, Twin Cities	185.2	85.8
27	Yale University	185.1	85.2
28	University of Maryland, College Park	182.8	89.3
29	Purdue University - West Lafayette	175.3	93.9
30	University of British Columbia	173.0	66.4
31	Utrecht University	172.6	71.3
32	University of Massachusetts Amherst	170.8	84.4
33	University College London	168.6	74.3
34	Stockholm University	167.3	73.6
35	University of Copenhagen	164.4	72.5
36	Michigan State University	162.8	80.8
37	University of Pennsylvania	161.5	93.5
38	University of Southern California	160.9	85.5
39	The University of Edinburgh	160.1	71.4
40	University of Cologne	159.5	73.8
41	Massachusetts Institute of Technology (MIT)	159.0	96.9
42	Brown University	157.3	79.7
43	University of Arizona	151.9	75.3
44	University of Illinois at Chicago	151.4	82.0
45	Boston University	151.2	86.2
46	Florida State University	151.0	72.9
47	Cardiff University	148.6	75.9
48	The University of Melbourne	147.2	67.2
49	University of York	146.1	73.7
50	McGill University	145.4	63.1
50	The University of Sheffield	145.4	80.0
51-75	Aarhus University		74.5
51-75	Arizona State University		78.5
51-75	Boston College		100.0
51-75	Copenhagen Business School		85.8
51-75	Johns Hopkins University		73.9
51-75	The University of Queensland		77.1
51-75	Tilburg University		77.4
51-75	University of California, Davis		73.4
51-75	University of California, San Diego		76.0
51-75	University of California, Santa Barbara		81.8
51-75	University of Cambridge		66.3
51-75	University of Colorado at Boulder		73.9
51-75	University of Connecticut		86.1
51-75	Exeter University		66.1
51-75	University of Helsinki		65.1
51-75	University of Illinois at Urbana-Champaign		66.0
51-75	University of Iowa		82.8
51-75	University of Notre Dame		87.5
51-75	University of Oslo		77.2
51-75	University of South Carolina - Columbia		80.8
51-75	University of Southampton		64.4
51-75	University of Surrey		91.2
51-75	University of Warwick		69.8
51-75	University of Waterloo		80.8
76-100	Baylor University		96.9
76-100	Colorado State University		74.2
76-100	Durham University		74.6
76-100	Erasmus University Rotterdam		83.5
76-100	Goethe University Frankfurt		71.4
76-100	King's College London		79.4
76-100	Newcastle University		65.5
76-100	Northeastern University (Boston)		98.0
76-100	Radboud University Nijmegen		74.9
76-100	Rice University		87.9
76-100	The Hong Kong Polytechnic University		95.6
76-100	The University of Glasgow		78.2
