1	Harvard University	279.7	86.2
2	Stanford University	262.3	72.6
3	University of Michigan-Ann Arbor	257.2	89.3
4	University of Oxford	254.6	100.0
5	University of California, Berkeley	251.8	74.7
6	University of Toronto	244.1	79.1
7	The Ohio State University - Columbus	240.9	86.5
8	Pennsylvania State University - University Park	236.8	86.9
9	Cornell University	235.9	87.6
10	University of Wisconsin - Madison	229.0	77.9
11	University of Amsterdam	224.8	85.1
12	The University of Texas at Austin	223.8	79.5
13	Duke University	223.4	63.1
14	University of California, Los Angeles	221.9	73.1
15	Columbia University	219.2	57.0
16	Princeton University	215.7	60.7
17	University of North Carolina at Chapel Hill	212.7	70.5
18	University of Chicago	212.1	62.2
19	Indiana University Bloomington	209.4	67.8
20	Northwestern University	209.2	61.7
21	New York University	203.7	61.7
22	University of California, Irvine	193.0	64.1
23	London School of Economics and Political Science	192.2	71.4
24	University of Washington	192.0	57.6
25	The University of Manchester	191.6	84.7
26	University of Minnesota, Twin Cities	185.2	58.1
27	Yale University	185.1	47.6
28	University of Maryland, College Park	182.8	60.2
29	Purdue University - West Lafayette	175.3	53.7
30	University of British Columbia	173.0	63.1
31	Utrecht University	172.6	63.6
32	University of Massachusetts Amherst	170.8	50.8
33	University College London	168.6	65.5
34	Stockholm University	167.3	64.1
35	University of Copenhagen	164.4	58.6
36	Michigan State University	162.8	65.1
37	University of Pennsylvania	161.5	50.8
38	University of Southern California	160.9	53.1
39	The University of Edinburgh	160.1	66.5
40	University of Cologne	159.5	52.0
41	Massachusetts Institute of Technology (MIT)	159.0	33.2
42	Brown University	157.3	43.6
43	University of Arizona	151.9	48.3
44	University of Illinois at Chicago	151.4	45.0
45	Boston University	151.2	44.3
46	Florida State University	151.0	55.9
47	Cardiff University	148.6	70.1
48	The University of Melbourne	147.2	59.1
49	University of York	146.1	56.5
50	McGill University	145.4	52.0
50	The University of Sheffield	145.4	67.4
51-75	Aarhus University		47.6
51-75	Arizona State University		44.3
51-75	Boston College		33.2
51-75	Copenhagen Business School		42.9
51-75	Johns Hopkins University		37.6
51-75	The University of Queensland		61.7
51-75	Tilburg University		41.4
51-75	University of California, Davis		49.5
51-75	University of California, San Diego		37.6
51-75	University of California, Santa Barbara		39.2
51-75	University of Cambridge		53.1
51-75	University of Colorado at Boulder		51.4
51-75	University of Connecticut		39.9
51-75	Exeter University		53.1
51-75	University of Helsinki		53.1
51-75	University of Illinois at Urbana-Champaign		45.7
51-75	University of Iowa		38.4
51-75	University of Notre Dame		37.6
51-75	University of Oslo		54.3
51-75	University of South Carolina - Columbia		39.9
51-75	University of Southampton		50.2
51-75	University of Surrey		59.7
51-75	University of Warwick		60.7
51-75	University of Waterloo		43.6
76-100	Baylor University		31.3
76-100	Colorado State University		46.3
76-100	Durham University		43.6
76-100	Erasmus University Rotterdam		52.5
76-100	Goethe University Frankfurt		36.7
76-100	King's College London		54.3
76-100	Newcastle University		57.0
76-100	Northeastern University (Boston)		34.1
76-100	Radboud University Nijmegen		42.2
76-100	Rice University		38.4
76-100	The Hong Kong Polytechnic University		48.3
76-100	The University of Glasgow		52.5
76-100	University at Albany (State University of New York)		33.2
76-100	University of Antwerp		35.9
76-100	University of Birmingham		53.1
76-100	University of California, San Francisco		35.9
76-100	University of Groningen		52.5
76-100	University of Haifa		43.6
76-100	University of Kansas		36.7
76-100	University of Leeds		58.6
76-100	University of Mannheim		39.9
76-100	University of Nottingham		57.6
76-100	Vrije Universiteit Amsterdam		46.3
76-100	Washington State University		41.4
76-100	Washington University in St. Louis		33.2
101-150	Aalborg University		39.9
101-150	Bowling Green State University		38.4
101-150	Carlos III University of Madrid		31.3
101-150	City University of Hong Kong		30.3
101-150	Emory University		36.7
101-150	Georgetown University		30.3
101-150	Goldsmiths University London		50.2
101-150	Humboldt University of Berlin		30.3
101-150	KU Leuven		44.3
101-150	Lancaster University		52.5
101-150	Monash University		48.9
101-150	National University of Singapore		37.6
101-150	Royal Holloway, University of London		39.2
101-150	Rutgers, The State University of New Jersey - New Brunswick		50.2
101-150	Simon Fraser University		34.1
101-150	Syracuse University		32.3
101-150	Tel Aviv University		39.2
101-150	Texas A&M University		37.6
101-150	The Australian National University		47.6
101-150	The Hebrew University of Jerusalem		37.6
101-150	The University of Georgia		42.9
101-150	The University of New Mexico - Albuquerque		26.0
101-150	The University of New South Wales		48.9
101-150	University of Alberta		46.3
101-150	University of Bath		45.7
101-150	University of Bologna		35.0
101-150	University of Bremen		35.9
101-150	University of Bristol		46.3
101-150	University of California, Riverside		30.3
101-150	University of Essex		45.7
101-150	University of Greenwich		35.0
101-150	University of Houston		35.9
101-150	University of Johannesburg		39.2
101-150	University of Kent		47.6
101-150	University of Leicester		53.1
101-150	University of Missouri - Columbia		43.6
101-150	University of Munich		35.9
101-150	University of Nebraska - Lincoln		35.9
101-150	University of Oklahoma - Norman		28.2
101-150	University of Oregon		38.4
101-150	University of Pittsburgh		37.6
101-150	University of Sussex		51.4
101-150	University of Sydney		52.0
101-150	University of Utah		30.3
101-150	University of Virginia		34.1
101-150	University of Zurich		42.2
101-150	Vanderbilt University		34.1
101-150	Virginia Polytechnic Institute and State University		39.9
101-150	Wageningen University & Research		48.3
101-150	Western University		48.3
151-200	American University		30.3
151-200	Autonomous University of Barcelona		37.6
151-200	Bar-Ilan University		30.3
151-200	Ben-Gurion University of the Negev		39.2
151-200	Bielefeld University		31.3
151-200	Carleton University		27.1
151-200	City, University of London		39.9
151-200	Clemson University		31.3
151-200	Coventry University		36.7
151-200	European University Institute		39.2
151-200	Georgia State University		26.0
151-200	Ghent University		40.7
151-200	Griffith University		42.9
151-200	Loughborough University		37.6
151-200	Louisiana State University - Baton Rouge		37.6
151-200	Lund University		41.4
151-200	Maastricht University		34.1
151-200	McMaster University		35.0
151-200	Middlesex University		35.9
151-200	Northumbria University		34.1
151-200	Norwegian University of Science and Technology - NTNU		38.4
151-200	PSL University		31.3
151-200	Queen Mary University of London		36.7
151-200	Queensland University of Technology		37.6
151-200	Stony Brook University		29.3
151-200	Sun Yat-sen University		36.7
151-200	The Open University		39.2
151-200	The University of Hong Kong		35.9
151-200	Trinity College Dublin		29.3
151-200	Tulane University		29.3
151-200	University College Dublin		42.2
151-200	University of Aberdeen		32.3
151-200	University of Bergen		32.3
151-200	University of Bern		35.9
151-200	University of Geneva		36.7
151-200	University of Gothenburg		38.4
151-200	University of Hamburg		32.3
151-200	University of Huddersfield		34.1
151-200	University of Kentucky		37.6
151-200	University of Lausanne		39.9
151-200	University of Liverpool		40.7
151-200	University of Nevada-Las Vegas		35.0
151-200	University of North Carolina at Charlotte		24.8
151-200	University of Otago		42.2
151-200	University of Southern Denmark		35.0
151-200	University of Strathclyde		37.6
151-200	University of Tennessee - Knoxville		23.5
151-200	University of Trento		32.3
151-200	University of Victoria		35.9
151-200	Uppsala University		38.4
151-200	University College Dublin		42.2
151-200	University of Aberdeen		32.3
151-200	University of Bergen		32.3
151-200	University of Bern		35.9
151-200	University of Geneva		36.7
151-200	University of Gothenburg		38.4
151-200	University of Hamburg		32.3
151-200	University of Huddersfield		34.1
151-200	University of Kentucky		37.6
151-200	University of Lausanne		39.9
151-200	University of Liverpool		40.7
151-200	University of Nevada-Las Vegas		35.0
151-200	University of North Carolina at Charlotte		24.8
151-200	University of Otago		42.2
151-200	University of Southern Denmark		35.0
151-200	University of Strathclyde		37.6
151-200	University of Tennessee - Knoxville		23.5
151-200	University of Trento		32.3
151-200	University of Victoria		35.9
151-200	Uppsala University		38.4
151-200	University College Dublin		42.2
151-200	University of Aberdeen		32.3
151-200	University of Bergen		32.3
151-200	University of Bern		35.9
151-200	University of Geneva		36.7
151-200	University of Gothenburg		38.4
151-200	University of Hamburg		32.3
151-200	University of Huddersfield		34.1
151-200	University of Kentucky		37.6
151-200	University of Lausanne		39.9
151-200	University of Liverpool		40.7
151-200	University of Nevada-Las Vegas		35.0
151-200	University of North Carolina at Charlotte		24.8
151-200	University of Otago		42.2
151-200	University of Southern Denmark		35.0
151-200	University of Strathclyde		37.6
151-200	University of Tennessee - Knoxville		23.5
151-200	University of Trento		32.3
151-200	University of Victoria		35.9
151-200	Uppsala University		38.4
151-200	University College Dublin		42.2
151-200	University of Aberdeen		32.3
151-200	University of Bergen		32.3
151-200	University of Bern		35.9
151-200	University of Geneva		36.7
151-200	University of Gothenburg		38.4
151-200	University of Hamburg		32.3
151-200	University of Huddersfield		34.1
151-200	University of Kentucky		37.6
151-200	University of Lausanne		39.9
151-200	University of Liverpool		40.7
151-200	University of Nevada-Las Vegas		35.0
151-200	University of North Carolina at Charlotte		24.8
151-200	University of Otago		42.2
151-200	University of Southern Denmark		35.0
151-200	University of Strathclyde		37.6
151-200	University of Tennessee - Knoxville		23.5
151-200	University of Trento		32.3
151-200	University of Victoria		35.9
151-200	Uppsala University		38.4
151-200	University College Dublin		42.2
151-200	University of Aberdeen		32.3
151-200	University of Bergen		32.3
151-200	University of Bern		35.9
151-200	University of Geneva		36.7
151-200	University of Gothenburg		38.4
151-200	University of Hamburg		32.3
151-200	University of Huddersfield		34.1
151-200	University of Kentucky		37.6
151-200	University of Lausanne		39.9
151-200	University of Liverpool		40.7
151-200	University of Nevada-Las Vegas		35.0
151-200	University of North Carolina at Charlotte		24.8
151-200	University of Otago		42.2
151-200	University of Southern Denmark		35.0
151-200	University of Strathclyde		37.6
151-200	University of Tennessee - Knoxville		23.5
151-200	University of Trento		32.3
151-200	University of Victoria		35.9
151-200	Uppsala University		38.4
151-200	University College Dublin		42.2
151-200	University of Aberdeen		32.3
151-200	University of Bergen		32.3
151-200	University of Bern		35.9
151-200	University of Geneva		36.7
151-200	University of Gothenburg		38.4
151-200	University of Hamburg		32.3
151-200	University of Huddersfield		34.1
151-200	University of Kentucky		37.6
151-200	University of Lausanne		39.9
151-200	University of Liverpool		40.7
151-200	University of Nevada-Las Vegas		35.0
151-200	University of North Carolina at Charlotte		24.8
151-200	University of Otago		42.2
151-200	University of Southern Denmark		35.0
151-200	University of Strathclyde		37.6
151-200	University of Tennessee - Knoxville		23.5
151-200	University of Trento		32.3
151-200	University of Victoria		35.9
151-200	Uppsala University		38.4
151-200	University College Dublin		42.2
151-200	University of Aberdeen		32.3
151-200	University of Bergen		32.3
151-200	University of Bern		35.9
151-200	University of Geneva		36.7
151-200	University of Gothenburg		38.4
151-200	University of Hamburg		32.3
151-200	University of Huddersfield		34.1
151-200	University of Kentucky		37.6
151-200	University of Lausanne		39.9
151-200	University of Liverpool		40.7
151-200	University of Nevada-Las Vegas		35.0
151-200	University of North Carolina at Charlotte		24.8
151-200	University of Otago		42.2
151-200	University of Southern Denmark		35.0
151-200	University of Strathclyde		37.6
151-200	University of Tennessee - Knoxville		23.5
151-200	University of Trento		32.3
151-200	University of Victoria		35.9
151-200	Uppsala University		38.4
151-200	University College Dublin		42.2
151-200	University of Aberdeen		32.3
151-200	University of Bergen		32.3
151-200	University of Bern		35.9
151-200	University of Geneva		36.7
151-200	University of Gothenburg		38.4
151-200	University of Hamburg		32.3
151-200	University of Huddersfield		34.1
151-200	University of Kentucky		37.6
151-200	University of Lausanne		39.9
151-200	University of Liverpool		40.7
151-200	University of Nevada-Las Vegas		35.0
151-200	University of North Carolina at Charlotte		24.8
151-200	University of Otago		42.2
151-200	University of Southern Denmark		35.0
151-200	University of Strathclyde		37.6
151-200	University of Tennessee - Knoxville		23.5
151-200	University of Trento		32.3
151-200	University of Victoria		35.9
151-200	Uppsala University		38.4
151-200	University College Dublin		42.2
151-200	University of Aberdeen		32.3
151-200	University of Bergen		32.3
151-200	University of Bern		35.9
151-200	University of Geneva		36.7
151-200	University of Gothenburg		38.4
151-200	University of Hamburg		32.3
151-200	University of Huddersfield		34.1
151-200	University of Kentucky		37.6
151-200	University of Lausanne		39.9
151-200	University of Liverpool		40.7
151-200	University of Nevada-Las Vegas		35.0
151-200	University of North Carolina at Charlotte		24.8
151-200	University of Otago		42.2
151-200	University of Southern Denmark		35.0
151-200	University of Strathclyde		37.6
151-200	University of Tennessee - Knoxville		23.5
151-200	University of Trento		32.3
151-200	University of Victoria		35.9
151-200	Uppsala University		38.4
151-200	University College Dublin		42.2
151-200	University of Aberdeen		32.3
151-200	University of Bergen		32.3
151-200	University of Bern		35.9
151-200	University of Geneva		36.7
151-200	University of Gothenburg		38.4
151-200	University of Hamburg		32.3
151-200	University of Huddersfield		34.1
151-200	University of Kentucky		37.6
151-200	University of Lausanne		39.9
151-200	University of Liverpool		40.7
151-200	University of Nevada-Las Vegas		35.0
151-200	University of North Carolina at Charlotte		24.8
151-200	University of Otago		42.2
151-200	University of Southern Denmark		35.0
151-200	University of Strathclyde		37.6
151-200	University of Tennessee - Knoxville		23.5
151-200	University of Trento		32.3
151-200	University of Victoria		35.9
151-200	Uppsala University		38.4
151-200	University College Dublin		42.2
151-200	University of Aberdeen		32.3
151-200	University of Bergen		32.3
151-200	University of Bern		35.9
151-200	University of Geneva		36.7
151-200	University of Gothenburg		38.4
151-200	University of Hamburg		32.3
151-200	University of Huddersfield		34.1
151-200	University of Kentucky		37.6
151-200	University of Lausanne		39.9
151-200	University of Liverpool		40.7
151-200	University of Nevada-Las Vegas		35.0
151-200	University of North Carolina at Charlotte		24.8
151-200	University of Otago		42.2
151-200	University of Southern Denmark		35.0
151-200	University of Strathclyde		37.6
151-200	University of Tennessee - Knoxville		23.5
151-200	University of Trento		32.3
151-200	University of Victoria		35.9
151-200	Uppsala University		38.4
